Bandgap (eV),Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),J0 (mA/cm^2)
0.32,0.150111727073,68.7314027354,58.0097164559,5.98508843451,0.207346408992
0.322,0.151788447147,68.673257017,58.2540738351,6.07229225134,0.194123904931
0.324,0.153463674714,68.6059088275,58.4904732318,6.15817817511,0.181732783274
0.326,0.155140349218,68.5373006485,58.7309692915,6.24480567842,0.170121660078
0.328,0.156819438759,68.4701017957,58.9646893927,6.33129987557,0.15924225986
0.33,0.158501520732,68.4059299753,59.1975981871,6.41846639029,0.149049232676
0.332,0.160187034227,68.3460265706,59.4288709404,6.50636032781,0.139499981568
0.334,0.161874290856,68.2859950611,59.6547738161,6.59408778653,0.130554499831
0.336,0.163562284368,68.2232572635,59.8829411775,6.68218877954,0.122175217554
0.338,0.165253333585,68.1640243657,60.1037164715,6.77028232216,0.114326856954
0.34,0.166945706932,68.1037931067,60.327394147,6.8590050534,0.106976296001
0.342,0.168638164654,68.0393719747,60.5448128114,6.94693290007,0.100092439893
0.344,0.170332754121,67.9762354149,60.7620151448,7.03537816431,0.0936460999563
0.346,0.172030272579,67.9165449252,60.9764857372,7.12431072269,0.087609879539
0.348,0.173729260366,67.8565204963,61.1879327725,7.2132392627,0.0819580665375
0.35,0.175430275869,67.7976929552,61.3991661752,7.30267436558,0.0766665321675
0.352,0.177132261987,67.7373478736,61.6050800992,7.39166683847,0.0717126356404
0.354,0.178833418005,67.6708309484,61.8126133904,7.48044255464,0.0670751344127
0.356,0.180536466496,67.6053454019,62.0130735273,7.56883836267,0.0627340996951
0.358,0.18224278531,67.5445470462,62.2175053952,7.65866779996,0.0586708369249
0.36,0.183951804641,67.4869880323,62.4145402438,7.74836149796,0.0548678109215
0.362,0.185663256113,67.4320116823,62.6146917956,7.83913829227,0.0513085754587
0.364,0.187382072194,67.39252863,62.8089478382,7.93160919226,0.0479777070035
0.366,0.18910359011,67.3564013149,63.0054086895,8.02521142553,0.044860742382
0.368,0.190827702172,67.3233916422,63.1961989171,8.11892192632,0.0419441201491
0.37,0.192555413786,67.2961603508,63.3888679138,8.2140816392,0.0392151254489
0.372,0.194281488981,67.2611138731,63.5757454307,8.3078173415,0.0366618381645
0.374,0.19601532086,67.2427498601,63.7648716132,8.40459852741,0.0342730841666
0.376,0.197756142706,67.2391011391,63.9490374341,8.50326851486,0.0320383894841
0.378,0.19949515651,67.227313186,64.134861641,8.60146195462,0.0299479372231
0.38,0.201235122451,67.2146112574,64.314577091,8.69915144743,0.0279925270784
0.382,0.202978551948,67.2075673018,64.4972042484,8.7985116877,0.0261635372831
0.384,0.204724723745,67.2043426133,64.6732289938,8.8979953784,0.0244528888551
0.386,0.206472868492,67.2029739676,64.8528256832,8.9987127181,0.0228530120059
0.388,0.20822065092,67.1974261912,65.0258525672,9.09834694734,0.0213568145841
0.39,0.20996149756,67.1706501121,65.2002269706,9.19535119907,0.0199576524337
0.392,0.211695637523,67.1233029631,65.3687517733,9.28871032786,0.0186493015542
0.394,0.213435683022,67.0881943631,65.5388478528,9.38451718395,0.0174259319563
0.396,0.215181132287,67.0640363535,65.7055161412,9.48190736752,0.0162820831121
0.398,0.216929097554,67.0433586201,65.8720760778,9.58020767216,0.0152126409049
0.4,0.218680527036,67.0286492366,66.0365644246,9.67954738774,0.0142128159896
0.402,0.220434077431,67.0164527642,66.1992481444,9.77942290937,0.0132781234796
0.404,0.222190671676,67.0091915479,66.3616383644,9.88046307909,0.0124043638806
0.406,0.223949518068,67.0048419359,66.5203384726,9.98184380034,0.0115876051957
0.408,0.225709389547,67.0002524209,66.6806025526,10.0838315153,0.0108241661341
0.41,0.227466031127,66.9844248154,66.8351277513,10.1834553853,0.0101106003532
0.412,0.229220715922,66.9606940961,66.9921557051,10.282477417,0.00944368167565
0.414,0.230978147849,66.9412778743,67.1445657331,10.381874207,0.00882039021899
0.416,0.232739715065,66.9297941209,67.2977969898,10.4831267086,0.00823789938557
0.418,0.234501840549,66.9170049593,67.4485733007,10.5841385979,0.00769356365857
0.42,0.236263999317,66.9015790288,67.5974167484,10.6847414845,0.00718490715624
0.422,0.238028639788,66.8898797512,67.7464532189,10.7863918472,0.00670961289772
0.424,0.239796012642,66.8825793595,67.8912990611,10.8885259273,0.00626551273745
0.426,0.241564900243,66.876551293,68.038839934,10.9916932623,0.00585057792702
0.428,0.243334459777,66.8696397078,68.1817892959,11.094327791,0.00546291026633
0.43,0.245106323836,66.8660921406,68.3254413705,11.1980629522,0.00510073380788
0.432,0.246880291904,66.8654132955,68.4671510869,11.3023880182,0.00476238708032
0.434,0.248655480975,66.8653425539,68.6065314613,11.4068196136,0.00444631579925
0.436,0.250431648817,66.8652765258,68.746894787,11.5117922726,0.0041510660354
0.438,0.252208789572,66.8652228751,68.8830892445,11.6164420526,0.00387527781203
0.44,0.25398690876,66.8652183332,69.0209742077,11.7217562012,0.00361767910488
0.442,0.255765980606,66.865218333,69.1559936633,11.8269530128,0.00337708022005
0.444,0.257545994941,66.8652183329,69.2894759729,11.9322500145,0.00315236852621
0.446,0.259326943481,66.8652183329,69.4233663355,12.0379788822,0.00294250351927
0.448,0.261108818065,66.8652183329,69.5534142921,12.143398853,0.0027465121989
0.45,0.262891610656,66.8652183329,69.6852897774,12.2494927385,0.00256348473746
0.452,0.264675313333,66.8652183329,69.8143695846,12.3554487518,0.00239257042314
0.454,0.266459918292,66.8652183329,69.9418457275,12.4614691406,0.00223297386035
0.456,0.268245417841,66.8652183329,70.0699931614,12.5679560768,0.00208395141109
0.458,0.270031804398,66.8652183329,70.1945910654,12.6741497387,0.00194480786246
0.46,0.271819070487,66.8652183329,70.320363027,12.7808958004,0.001814893306
0.462,0.273607208738,66.8652183329,70.4441666734,12.8876234549,0.00169360021575
0.464,0.27539621188,66.8652183329,70.5655565918,12.9942434953,0.00158036071236
0.466,0.277186072745,66.8652183329,70.688592048,13.1014994799,0.00147464400181
0.468,0.278976784261,66.8652183329,70.8083414058,13.2084772541,0.00137595397757
0.47,0.280768339449,66.8652183329,70.9279417837,13.3157538385,0.00128382697598
0.472,0.282560731427,66.8652183329,71.0470416027,13.4232621476,0.00119782967528
0.474,0.2843539534,66.8652183329,71.1630038161,13.5304988662,0.00111755712906
0.476,0.286147998663,66.8652183329,71.2807584486,13.6383958605,0.00104263092576
0.478,0.2879428606,66.8652183329,71.3961782963,13.7461648339,0.000972697466271
0.48,0.289738532678,66.8652183329,71.5095640767,13.8538555163,0.00090742635205
0.482,0.291535008448,66.8652183329,71.624454466,13.96215027,0.000846508876833
0.484,0.293332281543,66.8652183329,71.7364305841,14.0701876898,0.000789656615361
0.486,0.295130345675,66.8652183325,71.8479028063,14.1784328083,0.000736600102937
0.488,0.296929194511,66.8652180094,71.9594415888,14.2869968711,0.000687087600064
0.49,0.298728821809,66.8652170761,72.0681923857,14.3953097465,0.000640883936726
0.492,0.300529081395,66.8648531262,72.1776942511,14.5039870419,0.000597769431273
0.494,0.302329243082,66.8622530762,72.2860289335,14.6121974154,0.00055753887911
0.496,0.304127530525,66.8528386823,72.3915147629,14.7184898452,0.000520000606784
0.498,0.305926067643,66.8421192802,72.4988237378,14.8251008298,0.000484975587244
0.5,0.307725045133,66.8306033938,72.6039675466,14.9313329674,0.0004522966124
0.502,0.309519795008,66.806242073,72.7067630325,15.0341985637,0.000421807519293
0.504,0.311306077503,66.7581145412,72.8108016457,15.1316913557,0.000393362466445
0.506,0.313093884326,66.7120657071,72.9122510713,15.2292838006,0.000366825257177
0.508,0.314880416251,66.6608871016,73.0128450469,15.3255479531,0.000342068706875
0.51,0.316659869364,66.5896531031,73.1134725841,15.4169048588,0.000318974051382
0.512,0.318443914848,66.52847035,73.211728838,15.5103341756,0.000297430393875
0.514,0.320231144657,66.473704268,73.3107545343,15.605623961,0.000277334187744
0.516,0.3220162967,66.4118332363,73.4087854256,15.6989771894,0.000258588753159
0.518,0.323799190395,66.3424270963,73.5041657908,15.7898886537,0.000241103825156
0.52,0.325585072315,66.2789725323,73.6014868367,15.8827916828,0.000224795131198
0.522,0.32737050164,66.2126522872,73.6967750155,15.9745639462,0.000209583996319
0.524,0.329152658129,66.1362725852,73.7900839222,16.063311657,0.000195396974063
0.526,0.330934193235,66.0566557214,73.8849262897,16.1515449107,0.000182165501548
0.528,0.332716577245,65.9775783922,73.9774058657,16.2393973757,0.000169825577098
0.53,0.334500635885,65.9011561557,74.0692912106,16.327818733,0.000158317458978
0.532,0.336281611344,65.8152784087,74.1615147508,16.4137734273,0.000147585383862
0.534,0.33806128824,65.7245314012,74.2513278596,16.4978429537,0.000137577303758
0.536,0.339841058384,65.6324809276,74.3415191066,16.5815872301,0.000128244640191
0.538,0.34162012602,65.5371272535,74.4311522272,16.6642430538,0.000119542054517
0.54,0.343399988224,65.4422864245,74.5185460852,16.7464637283,0.000111427233326
0.542,0.345179615567,65.3453659912,74.607296264,16.8283384178,0.000103860687944
0.544,0.346958592023,65.2453369888,74.6945430568,16.9089250908,9.68055671288e-05
0.546,0.348738105163,65.1452178871,74.77976127,16.9889296849,9.02274820815e-05
0.548,0.350518152714,65.0450149389,74.8669531302,17.0692598939,8.40943429872e-05
0.55,0.352298183347,64.9433549305,74.9519825352,17.1485833516,7.83762063219e-05
0.552,0.354078168333,64.8401839404,75.0358218211,17.2270943235,7.3045132227e-05
0.554,0.355857551792,64.7341284162,75.1207601292,17.3049148002,6.80750512918e-05
0.556,0.357636609273,64.6259024386,75.2035785434,17.3814937358,6.34416401285e-05
0.558,0.359415748599,64.5165456733,75.2860011985,17.457515629,5.91222051653e-05
0.56,0.361195601045,64.4076475274,75.3688317327,17.5336233457,5.50955741181e-05
0.562,0.362976783985,64.3007520427,75.449687285,17.6097157124,5.13419946384e-05
0.564,0.364759870825,64.1972838201,75.5308928095,17.6867617234,4.7843039666e-05
0.566,0.366542951302,64.0925007019,75.6118589088,17.7632326713,4.45815190471e-05
0.568,0.368325914477,63.9861449195,75.6908576262,17.8386361411,4.15413970063e-05
0.57,0.370109437045,63.8799066708,75.7706419321,17.9141166749,3.87077150871e-05
0.572,0.37189330701,63.7732725919,75.8497389009,17.9891712604,3.60665202023e-05
0.574,0.373677293476,63.6656861089,75.9269394714,18.0633387595,3.36047974572e-05
0.576,0.375460846197,63.5558092586,76.005280603,18.1369257184,3.13104074325e-05
0.578,0.377243928437,63.4435736462,76.0825282934,18.2093663234,2.91720276314e-05
0.58,0.379026471889,63.3288342767,76.1578953529,18.2804116173,2.71790978182e-05
0.582,0.380809805634,63.2148643758,76.2348101757,18.3518840427,2.53217689905e-05
0.584,0.382594652057,63.1034327638,76.3103929301,18.423645562,2.35908557458e-05
0.586,0.384380186562,62.9925262867,76.3842139444,18.4949700705,2.19777918183e-05
0.588,0.386166101174,62.8814024922,76.4597937432,18.5664763671,2.04745885755e-05
0.59,0.387953516904,62.7727938028,76.5338421902,18.6382300467,1.90737962808e-05
0.592,0.389742044358,62.665752487,76.6062115295,18.7099015915,1.77684679375e-05
0.594,0.391531816382,62.5606010948,76.6804580797,18.7824685647,1.65521255433e-05
0.596,0.393323238255,62.4583182153,76.7531279188,18.855409786,1.54187285975e-05
0.598,0.39511867993,62.3646155534,76.8243182799,18.9306064417,1.43626447092e-05
0.6,0.396920604715,62.2853977244,76.8974523748,19.0108632611,1.33786221689e-05
0.602,0.398724662761,62.2101495935,76.969222222,19.0920007641,1.24617643525e-05
0.604,0.400530206128,62.137307611,77.0395134411,19.1734928951,1.16075058367e-05
0.606,0.402332644377,62.0558514436,77.1108562821,19.252340597,1.08115901113e-05
0.608,0.404128850612,61.9583284827,77.1810100904,19.3254674027,1.00700487828e-05
0.61,0.405924561407,61.8585475049,77.2495963473,19.3972993018,9.37918217004e-06
0.612,0.40772428291,61.7672930209,77.3191696399,19.4720792085,8.73554120011e-06
0.614,0.409535630255,61.7027082037,77.3886076312,19.5556813095,8.13591051603e-06
0.616,0.411357709521,61.6625848896,77.4570612925,19.6472776884,7.57729271765e-06
0.618,0.413185091027,61.6339365441,77.5256696433,19.7428604418,7.05689365898e-06
0.62,0.415011733994,61.6023583684,77.5945858192,19.8376002408,6.57210873206e-06
0.622,0.416825948756,61.5400289055,77.6617088271,19.9213784336,6.12051007135e-06
